SCATS_Number,Time,Average_Traffic_Volume
3682,04:15,5.97
3682,04:30,6.65
3682,04:45,7.09
3682,05:00,8.96
3682,05:15,13.65
3682,05:30,18.78
3682,05:45,25.03
3682,06:00,34.11
3682,06:15,55.48
3682,06:30,76.56
3682,06:45,91.04
3682,07:00,109.53
3682,07:15,136.86
3682,07:30,160.13
3682,07:45,179.16
3682,08:00,188.42
3682,08:15,193.84
3682,08:30,187.84
3682,08:45,177.88
3682,09:00,153.69
3682,09:15,145.82
3682,09:30,138.47
3682,09:45,136.70
3682,10:00,130.02
3682,10:15,127.85
3682,10:30,131.99
3682,10:45,131.16
3682,11:00,128.93
3682,11:15,133.42
3682,11:30,136.29
3682,11:45,140.99
3682,12:00,138.13
3682,12:15,142.97
3682,12:30,139.52
3682,12:45,138.64
3682,13:00,137.99
3682,13:15,138.85
3682,13:30,138.73
3682,13:45,139.04
3682,14:00,138.04
3682,14:15,142.93
